scenario,previous_utterance,current_utterance,label
Gaming Session Planning,"So the final boss has a shield phase, you have to use the EMP grenade to drop it before you can do any damage.","yeah",1
Gaming Session Planning,"So the final boss has a shield phase, you have to use the EMP grenade to drop it before you can do any damage.","yeah that makes sense, I was just trying to brute force it.",0
Gaming Session Planning,"Alright, I'm sending the party invite now, did you get it?","yes",1
Gaming Session Planning,"Alright, I'm sending the party invite now, did you get it?","yes, but can you invite Chloe too? She just logged on.",0
Gaming Session Planning,"You'll need the grappling hook to get across that chasm, it's in the supply cache on the western side of the map.","uh-huh",1
Gaming Session Planning,"You'll need the grappling hook to get across that chasm, it's in the supply cache on the western side of the map.","uh-huh, is that the same cache where we found the sniper rifle last time?",0
Gaming Session Planning,"First we'll do the daily quests to get the bonus XP, then we can run the new dungeon.","mhmm",1
Gaming Session Planning,"First we'll do the daily quests to get the bonus XP, then we can run the new dungeon.","mhmm, and after that we should definitely try the new raid boss.",0
Gaming Session Planning,"I think if we both spec into crowd control, we can probably handle that massive mob pull.","hmm",1
Gaming Session Planning,"I think if we both spec into crowd control, we can probably handle that massive mob pull.","hmm, I'm not sure, my DPS would take a huge hit if I do that.",0
Gaming Session Planning,"Dude, they just patched the game, the exploit we were using doesn't work anymore.","oh",1
Gaming Session Planning,"Dude, they just patched the game, the exploit we were using doesn't work anymore.","oh, really? Where did you see the patch notes?",0
Gaming Session Planning,"I finally got the legendary drop after like 200 runs last night.","wow",1
Gaming Session Planning,"I finally got the legendary drop after like 200 runs last night.","wow, that's insane dedication, I would have given up after 50.",0
Gaming Session Planning,"So we're meeting at the tower first to pick up the bounties before we head to the raid entrance.","right",1
Gaming Session Planning,"So we're meeting at the tower first to pick up the bounties before we head to the raid entrance.","right, but make sure you have enough space in your inventory first.",0
Gaming Session Planning,"I'll draw the aggro from the big guy, you focus on taking out the smaller adds that spawn.","okay",1
Gaming Session Planning,"I'll draw the aggro from the big guy, you focus on taking out the smaller adds that spawn.","ok, but what if they spawn healers first? Should I prioritize them?",0
Gaming Session Planning,"Can you grab the ammo crate while I revive him?","sure",1
Gaming Session Planning,"Can you grab the ammo crate while I revive him?","sure, is it the one on the left or the right?",0
Gaming Session Planning,"Let's log off for a bit and come back after the server resets in an hour.","alright",1
Gaming Session Planning,"Let's log off for a bit and come back after the server resets in an hour.","alright, I'm gonna go grab some food in the meantime.",0
Gaming Session Planning,"You can't parry his overhead swing, you have to dodge roll to the side instead.","gotcha",1
Gaming Session Planning,"You can't parry his overhead swing, you have to dodge roll to the side instead.","gotcha, so it's like the second boss in the last expansion then?",0
Gaming Session Planning,"They just announced double XP weekend starting tonight at midnight.","sweet",1
Gaming Session Planning,"They just announced double XP weekend starting tonight at midnight.","sweet, we should definitely grind out our alternate characters then.",0
